天陰,7
天陰陰,2
天黑,9
太,2369
太平,28
太平清醮,4
太過,70
太陽,113
夫,322
失,1613
失手,5
失望,113
失禮,16
夷,44
夾,352
夾埋,47
夾雜,35
奇,879
奇景,3
奇觀,5
奇蹟,14
奈何,30
奉,114
奔,97
套,650
套票,3
奢,48
奢華,8
奧,132
奧運,37
奪,92
奬,8
奮,192
女,5284
女生,94
奴,89
好,25418
好人,71
好似,2853
好啦,320
好在,28
好多,2618
好多時,201
好天,22
好好,528
好少,197
好幾,80
好彩,284
好戲,20
好日,16
好景,37
好景不常,17
好氣,51
好清,126
好玩,90
好眼,17
好耐,303
好處,91
好轉,19
好運,27
好過,218
好過冇,3
好鬼,53
如,7092
如今,61
如何,294
如常,42
如期,4
如果,3458
如此,246
如火如荼,3
如虎添翼,1
如願,7
如願以償,4
妙,381
妙計,8
妞,5
妨,62
始,2300
始終,443
姐,493
姑,125
姑姐,7
姓,111
姨,53
姨媽,11
威,446
威力,23
威脅,31
娘,181
娘娘,7
娼,7
婆,907
婦,114
媽,1038
嫌,137
嫌疑,13
子,2649
子彈,14
子虛烏有,3
孔,107
孖,71
孖仔,28
字,2895
字形,26
字號,4
字面,19
字體,15
存,627
存在,297
存活,6
孝,82
孝子,29
孟,36
季,114
季候風,15
孤,153
孤身,4
孫,150
孭,14
孵,3
孵化,3
學,5571
學問,69
學堂,7
學會,44
學校,366
學生,633
學者,77
學藝,21
宅,83
宇,142
宇宙,83
守,353
守候,9
守時,2
守株待兔,3
守護,42
安,1464
安全,162
安心,39
安排,148
安檢,2
安然,9
宋,65
完,3948
完全,1574
完成,192
完結,59
完美,102
宏,39
官,563
官兵,4
官方,63
宙,86
定,4992
定係,649
定向,12
定性,20
定點,22
宜,237
客,849
客觀,79
宣,260
宣佈,32
宣揚,14
宣示,7
室,473
室內,31
室外,5
宮,202
宴,53
宴會,3
家,9178
家鄉,19
容,1192
容易,285
宿,114
宿舍,32
宿願,1
寂,97
寄,112
寄予,8
寄望,21
寅,8
密,386
密碼,19
密麻麻,8
富,360
寒,147
寒冷,6
察,494
實,6189
實係,388
實力,42
實名,4
實名制,4
實在,322
實情,25
實戰,8
實時,6
實證,12
實質,41
實際,156
實體,13
寧,190
寧可,6
寧靜,15
審,159
審慎,4
審視,13
審計,1
寫,2600
寫低,24
寫明,12
寫法,83
寶,344
寶林,2
寶貴,30
寸,61
寺,104
寺門,2
封,349
封路,9
封鎖,17
封閉,7
將,2638
將至,8
將軍,43
將近,10
專,599
專家,97
專業,105
專欄,20
專登,55
專程,18
專車,4
尊,250
尋,321
尋日,55
對,6320
對付,38
對出,23
對埋,1
對家,18
對峙,6
對應,36
對方,409
對於,406
對死,13
對號入座,11
對象,82
對開,5
對面,116
導,457
導致,49
導航,1
導遊,20
小,3506
小人,41
小型,18
小島,10
小巴,53
小店,44
小徑,5
小心,219
小心翼翼,26
小時,145
小童,9
小組,25
小費,2
少,4056
少不免,25
少少,955
少量,13
尖,251
尚,200
尚算,14
尤,369
尤其,255
尤其是,150
就,18539
就係,3836
就嚟,78
就好,675
就真,166
就算,1248
就緒,3
就話,293
尺,86
尼,363
尼龍,3
尾,718
尾站,7
尿,114
尿袋,6
局,577
局部,7
局面,27
居,477
居屋,6
居民,58
屆,93
屆時,12
屈,168
屈就,8
屋,1645
屋企,1158
屋頂,18
屍,186
屎,410
屐,1
展,735
展品,2
展示,23
層,724
屬,446
屯門,24
山,1255
山人,16
山地,2
山峰,4
山嶺,6
山巒,3
山徑,13
山東,3
山洪,1
山火,4
山竹,18
山腰,2
山西,6
山路,14
山野,11
山長水遠,7
山難,2
山頂,55
山頭,15
岔,26
岩,1437
岸,190
峒,12
峰,77
島,552
峻,12
峽,13
峽谷,7
崎嶇,6
崖,29
崗,46
崢,1
崩,107
崩紗,2
嶺,65
嶼,112
巖,3
川,28
州,182
巡,33
巡邏,6
巢,26
工,2567
工作,519
工地,1
工場,19
工程,89
左,7157
左右,160
左近,11
巧,249
巧合,66
巨,137
巨型,12
巫,60
差,1259
差人,44
差別,18
差唔多,256
差啲,51
差天共地,7
差無幾,3
差異,53
差距,27
己,6227
已,5493
已經,4870
巴,615
巴士,159
巴士站,20
巴士線,3
巾,104
市,1126
市中心,34
市場,215
市民,197
布,343
帆,16
希,742
希望,629
帝,276
師,1285
席,211
帳,40
帶,1208
帶備,1
常,1970
常人,58
常見,50
常識,78
帽,99
幅,201
幣,182
幫,1552
幫忙,24
幫手,142
幫補,7
幫襯,53
平,2058
平原,2
平安,51
平平,109
平平安安,5
平日,49
平時,430
平衡,73
平靜,54
年,6093
年代,290
年假,2
年青,133
年青人,107
幸,362
幸免,2
幸好,10
幹,126
幻,260
幻想,120
幼,133
幽,77
幾,6730
幾乎,552
幾何,44
幾多,631
幾多人,63
幾大,73
幾好,191
幾時,348
幾步,19
幾耐,171
幾點,34
幾點鐘,1
庇,13
床,295
序,196
底,992
底線,54
店,388
府,661
度,5429
度日,13
度橋,2
度身定做,1
度身訂做,1
度高,14
座,397
座位,36
庫,76
庫房,1
庭,288
康,186
康樂,1
廁,304
廈,141
廈門,5
廉,107
廉價,26
廊,98
廟,242
廠,106
廢,500
廢棄,1
廢話,56
廢鐵,4
廣,1146
廣告,83
廣場,62
廣闊,15
延,147
延伸,32
建,884
建築,203
建築物,25
建議,123
廿,427
弊,53
式,1186
弓,34
弔,3
引,662
引水道,6
引發,31
引路,2
引退,2
弘,9
弱,314
弱點,22
張,1479
張揚,6
張貼,2
強,1100
強烈,71
強逼,4
彈,476
彈性,21
彌,64
彌勒,10
彎,68
形,969
形容,184
形態,30
形成,60
彩,501
彩色,3
彩虹,11
影,1509
影相,74
影都冇隻,1
影響,428
影響力,29
往,762
征,39
待,443
律,578
後,9811
後來,266
後繼,24
後補,36
後話,41
後面,270
後頭,8
徑,185
徒,251
徒手,10
得,13527
得以,66
得個睇字,5
得償所願,2
得出,312
得切,28
得到,449
得咗,36
得唔得,88
得啲,29
得嚟,42
得多,106
得益,31
得知,33
得罪,47
得落,20
得過,74
得閑,3
徘徊,16
徙,85
從,1421
從中,30
從中作梗,2
從來,300
從容,14
從未,47
從此,40
從頭,9
復,469
復原,7
復興,68
復蘇,1
循,97
循例,13
微,443
微波,3
徵,175
徵詢,2
德,504
德政,7
徽,10
心,6803
心中,89
心儀,20
心安,36
心安理得,22
心得,32
心情,212
心態,114
心機,102
心水,42
心無旁騖,2
心照,11
心理,114
心理準備,18
心算,7
心聲,13
心諗,225
心領,5
心領神會,4
必,1083
必然,160
必經,7
忌,137
忍,614
志,305
志在,13
志在必得,5
忘,257
忘記,113
忙,299
快,2302
快手,9
快手快腳,3
快艇,33
念,758
念頭,19
忽,595
忽然,396
忽然間,106
怎,172
怕,625
怖,177
思,1473
怠,27
怠慢,14
怡,22
急,774
急急,116
急急腳,16
急躁,4
性,1932
怨,170
怪,944
怪物,54
恆,95
恐,432
恐怖,171
恢復,34
恨,173
恩,169
恩怨,9
恭,109
恭候,2
恭維,9
息,554
恰,53
恰到好處,8
悉,156
悟,121
悠,57
悠久,5
悠悠,7
悶,265
情,3622
情景,57
情況,629
惑,132
惜,409
惟,29
惠,91
惡,497
惡劣,19
惡化,10
想,6386
想像,248
惶,34
惹,45
惹麻煩,3
愁,80
愈,920
愈嚟愈,28
愉,53
愉快,38
意,5427
意圖,40
意外,133
意念,5
意思,588
意料,84
意料中事,2
意欲,15
意義,267
意興闌珊,6
意見,170
意識,173
愚,74
愚公移山,4
愛,1921
愛莫能助,5
感,2319
感受,202
感激,53
感覺,563
愧,53
慈,51
慈雲山,2
態,712
態度,123
慌,98
慎,46
慕,63
慢,1533
慢慢,662
慢慢行,26
慢條斯理,3
慣,353
慣例,9
慧,91
慮,238
慳,135
慳返,30
慶,212
憂,105
憑,158
憑弔,1
憲,41
憶,248
應,3472
應付,32
應用,56
應該,2084
懲,51
懲罰,32
懶,273
懶理,4
懷,398
懷疑,186
懸,53
懸案,1
懼,111
戀,397
戇,105
戇居,31
成,6536
成交,23
成份,48
成功,369
成員,94
成數,6
成日,879
成村人,5
成為,564
成績,102
成藥,1
我,45313
我哋,2112
我行我素,6
戒,140
或,2575
或者,1939
戙,6
戥,22
截,128
截圖,5
戰,960
戰戰兢兢,10
戰略,14
戰術,10
戲,767
戲棚,2
戲肉,3
戴,284
戴頭盔,15
戶,144
戶外,8
房,756
所,6319
所以,2824
所有,931
所致,8
所見,37
所謂,713
手,4522
手指,104
手機,161
手民之誤,1
手法,85
手續,17
手踭,3
扎,106
扎醒,5
扒,248
扒手,1
扒艇,14
扒頭,2
打,4167
打交,19
